name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
Dr Trust TPE Premium Luxfoam Yoga Mat for Gym Workout and Flooring Exercise Yoga Mat for Men and Women Fitness - 317,sports & fitness,Yoga,https://m.media-amazon.com/images/I/81wvPXmY45L._AC_UL320_.jpg,https://www.amazon.in/Dr-Trust-Premium-Flooring-Exercise/dp/B08D3M5DJ7/ref=sr_1_49?qid=1679217837&s=sports&sr=1-49,4.4,747,"₹1,299","₹4,000"
"QUADA Ankle Brace Support Sleeve (1 Pair) - Best Ankle Compression Socks for Plantar Fasciitis, Arch Support, Foot & Ankle...",sports & fitness,Yoga,https://m.media-amazon.com/images/I/51u4ZZ7A8aL._AC_UL320_.jpg,https://www.amazon.in/QUADA-Ankle-Brace-Support-Sleeve/dp/B08V8LF3VY/ref=sr_1_50?qid=1679217837&s=sports&sr=1-50,3.9,47,₹198,₹699
AmazonBasics 6 mm Thick TPE Yoga Mat,sports & fitness,Yoga,https://m.media-amazon.com/images/I/71NNoJ8-gaL._AC_UL320_.jpg,https://www.amazon.in/AmazonBasics-TPE-Yoga-Mat-Green/dp/B07R6TQLF9/ref=sr_1_51?qid=1679217837&s=sports&sr=1-51,4.3,488,₹709,"₹2,700"
"AmazonBasics 13 mm Thick NBR Yoga Mat, Yoga Belt, 2 Blocks & 2 Fast Drying Towels - 6 Piece Set, Grey",sports & fitness,Yoga,https://m.media-amazon.com/images/I/81C6wmEfWoL._AC_UL320_.jpg,https://www.amazon.in/AmazonBasics-2-Inch-Thick-Yoga-Piece/dp/B07NX2LM3T/ref=sr_1_52?qid=1679217837&s=sports&sr=1-52,4.1,877,₹999,"₹5,800"
JUARI BE A GENTLEMAN Sleeveless Gym Vest for Men Set of 3,sports & fitness,Yoga,https://m.media-amazon.com/images/I/71YK7nS6BCL._AC_UL320_.jpg,https://www.amazon.in/JUARI-BE-GENTLEMEN-BULL-WHITE-BLACK-LIFT-L_Multicolored_L/dp/B08XNQ1KC8/ref=sr_1_53?qid=1679217837&s=sports&sr=1-53,4.0,349,₹751,"₹1,497"
OJS Yoga Mat for Women and Men with Carry Strap EVA Material 4mm Exercise Mat for Workout Yoga Fitness and Meditation (4M...,sports & fitness,Yoga,https://m.media-amazon.com/images/I/71-3iIPoIFL._AC_UL320_.jpg,https://www.amazon.in/OJS-Material-Meditation-WINE-BLACK-MULTICOLOR/dp/B0BQ6J6RYP/ref=sr_1_54?qid=1679217837&s=sports&sr=1-54,4.4,27,₹379,₹999
"QUADA Ankle Compression Sleeve,Nano Sock Arch & Ankle Support for Men & Women (1 Pair),Medical Foot & Ankle Brace for Runn...",sports & fitness,Yoga,https://m.media-amazon.com/images/I/41G-u7wE3pL._AC_UL320_.jpg,https://www.amazon.in/QUADA-Compression-Recovery-Achilles-Tendonitis/dp/B08VDX3S1K/ref=sr_1_55?qid=1679217837&s=sports&sr=1-55,3.7,88,₹198,₹699
Jump Cuts Mens Printed Hooded Neck Full Sleeve Black Cotton Slim Fit T-Shirt,sports & fitness,Yoga,https://m.media-amazon.com/images/I/61Piw8KGZ0L._AC_UL320_.jpg,https://www.amazon.in/Jump-Cuts-Cotton-Hoodies-KNITS_Black_L/dp/B0BF5BMT9M/ref=sr_1_56?qid=1679217837&s=sports&sr=1-56,2.6,40,₹299,"₹1,519"
"JUST RIDER Gym Compression Men's Skin Tight Shorts with Mobile Pocket for Gym, Running, Cycling, Swimming, Basketball, Cri...",sports & fitness,Yoga,https://m.media-amazon.com/images/I/51YAgbGiBoL._AC_UL320_.jpg,https://www.amazon.in/JUST-RIDER-Compression-Basketball-Badminton/dp/B09RB7CNJK/ref=sr_1_57?qid=1679217837&s=sports&sr=1-57,3.7,227,₹349,₹999
"Yoga Mat – PESOMA Premium Thick Mat, High Performance Grip, Ultra Dense Cushioning for Support and Stability in Yoga, Pila...",sports & fitness,Yoga,https://m.media-amazon.com/images/I/51E01r4E-XL._AC_UL320_.jpg,https://www.amazon.in/Yoga-Mat-Performance-Cushioning-Black-Grey/dp/B0BWS7FLXS/ref=sr_1_58?qid=1679217837&s=sports&sr=1-58,4.9,88,₹799,"₹2,599"
