name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
Kitchwell Kitchen Accessories Items | 1100 ML Square Airtight Storage Jar and Container organizer | kitchen containers set...,home & kitchen,Kitchen & Dining,https://m.media-amazon.com/images/I/81Jf-Gz8hOL._AC_UL320_.jpg,https://www.amazon.in/Kitchwell-Accessories-Container-organizer-containers/dp/B0BN6J3V66/ref=sr_1_193?qid=1679212578&s=kitchen&sr=1-193,4.3,37,₹349,"₹1,899"
"Bulfyss Multipurpose 45cm x 5m Super Strong EVA Anti-Slip Bathroom Kitchen Cabinet Drawer Shelf Mat Liner Sheets Roll, Fri...",home & kitchen,Kitchen & Dining,https://m.media-amazon.com/images/I/61iCTMUVtES._AC_UL320_.jpg,https://www.amazon.in/Bulfyss-Multipurpose-Textured-Anti-Slip-Transparent/dp/B08336VK4N/ref=sr_1_194?qid=1679212578&s=kitchen&sr=1-194,4.3,"6,484",₹479,₹999
Pigeon By Stovekraft All in One Super Cooker Aluminium with Outer Lid Induction and Gas Stove Compatible 5 Litre Capacity ...,home & kitchen,Kitchen & Dining,https://m.media-amazon.com/images/I/51OhGq1Y8TL._AC_UL320_.jpg,https://www.amazon.in/Pigeon-Stovekraft-Ceramic-Cooker-Transparent/dp/B00N143BAI/ref=sr_1_195?qid=1679212578&s=kitchen&sr=1-195,4.0,"4,321","₹1,995","₹3,995"
"STAR WORK Muslin Cloth 1 X 1.2 Meter Cotton for Straining Unbleached, Natural Ultra Fine Cheese Cloths for Straining Reusa...",home & kitchen,Kitchen & Dining,https://m.media-amazon.com/images/I/81fTL+GEuLL._AC_UL320_.jpg,https://www.amazon.in/STAR-WORK-Straining-Unbleached-Decoration/dp/B08QR9D4XB/ref=sr_1_196?qid=1679212578&s=kitchen&sr=1-196,4.2,"2,637",₹154,₹499
Zuvexa 3 Slot Knife Sharpener Professional Kitchen Chef Knife Sharpener with 3 Stage Design - Stainless Steel & Tungsten S...,home & kitchen,Kitchen & Dining,https://m.media-amazon.com/images/I/71p6rKdaoqL._AC_UL320_.jpg,https://www.amazon.in/Zuvexa-Sharpener-Professional-Kitchen-Design/dp/B0BHW7PG3W/ref=sr_1_197?qid=1679212578&s=kitchen&sr=1-197,4.3,396,₹289,₹599
"Prestige Aluminium Omega Select Plus Non Stick Paniyarakkal with Lid (24 cm, Black)- Gas Top Compatible Only, Black",home & kitchen,Kitchen & Dining,https://m.media-amazon.com/images/I/71J93Wb4DFL._AC_UL320_.jpg,https://www.amazon.in/Prestige-Omega-Select-Non-Stick-Paniyarakkal/dp/B0188K43T2/ref=sr_1_198?qid=1679212578&s=kitchen&sr=1-198,4.4,"9,877","₹1,170","₹1,190"
"Prestige Deluxe Alpha Svachh Stainless Steel Spillage Control Pressure Cooker, 3 L (Silver)",home & kitchen,Kitchen & Dining,https://m.media-amazon.com/images/I/51yA9EZIhYL._AC_UL320_.jpg,https://www.amazon.in/Prestige-Svachh-Deluxe-Stainless-Pressure/dp/B0843YL5RH/ref=sr_1_199?qid=1679212578&s=kitchen&sr=1-199,4.3,"20,659","₹2,382","₹2,480"
"Treo By Milton Gusto Cool Mug Set of 2, 335 ml (Glass, Transparent)",home & kitchen,Kitchen & Dining,https://m.media-amazon.com/images/I/71XiLbQSDFL._AC_UL320_.jpg,https://www.amazon.in/TREO-Gusto-Cool-Mug-Set/dp/B07YNSSGHS/ref=sr_1_200?qid=1679212578&s=kitchen&sr=1-200,4.3,"1,374",₹162,₹199
INKULTURE Stainless_Steel Measuring Cups & Spoon Combo for Dry or Liquid/Kitchen Gadgets for Cooking & Baking Cakes/Measur...,home & kitchen,Kitchen & Dining,https://m.media-amazon.com/images/I/61QDkUVepSL._AC_UL320_.jpg,https://www.amazon.in/INKULTURE-Stainless-Measuring-Kitchen-Gadgets/dp/B08JKPVDKL/ref=sr_1_201?qid=1679212578&s=kitchen&sr=1-201,4.3,"2,410",₹295,₹749
"Amazon Brand - Solimo 100% Cotton Padded Oven Gloves Paisley, (Pack of 2, Blue)",home & kitchen,Kitchen & Dining,https://m.media-amazon.com/images/I/71BUnXdBXSL._AC_UL320_.jpg,https://www.amazon.in/Amazon-Brand-Solimo-Cotton-Paisley/dp/B06WLGNSVJ/ref=sr_1_202?qid=1679212578&s=kitchen&sr=1-202,4.3,"10,550",₹319,₹450
