name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
Kitchen Need - Washable and Reusable - (Pack of 1 Roll) Kitchen Printed Tissue/Towel Paper Roll - Washable and Reusable ap...,industrial supplies,Industrial & Scientific Supplies,https://m.media-amazon.com/images/I/51FNNDn-FGL._AC_UL320_.jpg,https://www.amazon.in/Kitchen-Need-Washable-Reusable-Reusable/dp/B09P4VN1V2/ref=sr_1_169?qid=1679222813&s=industrial&sr=1-169,3.8,618,₹118,₹299
Selpak Imported Paper Towel Kitchen Roll 3ply - 6 Rolls,industrial supplies,Industrial & Scientific Supplies,https://m.media-amazon.com/images/I/715s4f6ET1S._AC_UL320_.jpg,https://www.amazon.in/Selpak-Paper-Towel-Kitchen-Roll/dp/B06XJ4Y466/ref=sr_1_170?qid=1679222813&s=industrial&sr=1-170,4.6,"1,509",₹770,₹810
"POSH Male to Male VGA Cable 1.5 Meter, Support PC/Monitor/LCD/LED, Plasma, Projector, TFT. VGA to VGA Converter Adapter Cable",industrial supplies,Industrial & Scientific Supplies,https://m.media-amazon.com/images/I/41GWPiBQXmL._AC_UL320_.jpg,https://www.amazon.in/Support-Monitor-Projector-Converter-Adapter/dp/B08GFH7FW2/ref=sr_1_171?qid=1679222813&s=industrial&sr=1-171,3.5,"2,508",₹88,₹999
Halonix Rechargeable Emergency Inverter Led Bulb B22 9-Watt - White Pack Of 2(B22D),industrial supplies,Industrial & Scientific Supplies,https://m.media-amazon.com/images/I/6117hd4BnTL._AC_UL320_.jpg,https://www.amazon.in/Halonix-Inverter-LED-Bulb-9-Watt/dp/B07G96WGZR/ref=sr_1_172?qid=1679222813&s=industrial&sr=1-172,3.9,"5,439",,
FITG18 Kitchen Cleaning Sponge Wipes with Super Absorbent Biodegradable Cellulose Material for Kitchen and Home Cleaning (...,industrial supplies,Industrial & Scientific Supplies,https://m.media-amazon.com/images/I/714Gc1OiAhL._AC_UL320_.jpg,https://www.amazon.in/FITG18-Cleaning-Absorbent-Biodegradable-Cellulose/dp/B0BL1667XY/ref=sr_1_173?qid=1679222813&s=industrial&sr=1-173,4.1,21,₹198,₹699
GM 3012 3 Pin Travel Universal Multi-Plug with Surge Protector & Indicator (1),industrial supplies,Industrial & Scientific Supplies,https://m.media-amazon.com/images/I/615doISNuML._AC_UL320_.jpg,https://www.amazon.in/GM-Modular-3012-Travel-Universal/dp/B008LQOZ2E/ref=sr_1_174?qid=1679222813&s=industrial&sr=1-174,4.5,"8,215",₹209,₹249
"ZSIGNS 46PCS 1/4 inch Drive Socket Set,Metric Ratchet Wrench Set with 4-14mm CR-V Sockets,S2 Bits,Extension Bars,Mechanic ...",industrial supplies,Industrial & Scientific Supplies,https://m.media-amazon.com/images/I/81UOIOrc8AL._AC_UL320_.jpg,https://www.amazon.in/ZSIGNS-Ratchet-Extension-Mechanic-Household/dp/B0BC1PMRHR/ref=sr_1_175?qid=1679222813&s=industrial&sr=1-175,4.3,965,₹728,"₹1,999"
Lapster 1.5 mtr USB 2.0 Type A Male to USB A Male Cable for computer and laptop,industrial supplies,Industrial & Scientific Supplies,https://m.media-amazon.com/images/I/5190uz4tnkL._AC_UL320_.jpg,https://www.amazon.in/Lapster-Type-Cable-computer-laptop/dp/B0994GFWBH/ref=sr_1_176?qid=1679222813&s=industrial&sr=1-176,4.0,"1,540",₹139,₹999
Halonix Prime 10W Neo Radar Motion Sensor B22 Led Light Bulb (Cool Day White) Pack of 1,industrial supplies,Industrial & Scientific Supplies,https://m.media-amazon.com/images/I/41fKxjLqTbL._AC_UL320_.jpg,https://www.amazon.in/Halonix-10W-Motion-B22-LED/dp/B08R4GM6F6/ref=sr_1_177?qid=1679222813&s=industrial&sr=1-177,3.7,721,,₹299
RYLAN Bathroom Cleaning Brush with Wiper 2 in 1 Tiles Cleaning Brush Floor Scrub Bathroom Brush with Long Handle 120° Rota...,industrial supplies,Industrial & Scientific Supplies,https://m.media-amazon.com/images/I/61RZ3ZVRzNL._AC_UL320_.jpg,https://www.amazon.in/Bathroom-Cleaning-Handle-Kitchen-Accessories/dp/B0BXT634VN/ref=sr_1_178?qid=1679222813&s=industrial&sr=1-178,4.8,512,₹464,₹999
