name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
"Recombigen White Micro Pipette Tips 10-1000 uL, Pack of 500 pcs",industrial supplies,Lab & Scientific,https://m.media-amazon.com/images/I/310PQyzP-KL._AC_UL320_.jpg,https://www.amazon.in/White-Micro-Pipette-Tips-10-1000/dp/B07SPLRBV7/ref=sr_1_313?qid=1679223157&s=industrial&sr=1-313,3.7,35,₹399,₹899
BFCLAB AMMONIA SOLUTION LR - 250ml,industrial supplies,Lab & Scientific,https://m.media-amazon.com/images/I/71lHhayB8NL._AC_UL320_.jpg,https://www.amazon.in/BFCLAB-AMMONIA-SOLUTION-LR-250ml/dp/B08HQYCCMW/ref=sr_1_314?qid=1679223157&s=industrial&sr=1-314,4.3,19,₹199,₹300
"Labart 0-90% Brix Professional Grade Optical Hand Held Refractometer, Sugar Type for Syrup, Jelly, Jam Low Volume and High...",industrial supplies,Lab & Scientific,https://m.media-amazon.com/images/I/319rWTDRjhL._AC_UL320_.jpg,https://www.amazon.in/Original-Professional-Refractometer-concentration-Division/dp/B08HQQ51C1/ref=sr_1_315?qid=1679223157&s=industrial&sr=1-315,4.8,10,"₹1,599","₹13,899"
Mextech LX-1010B Digital Lux Meter,industrial supplies,Lab & Scientific,https://m.media-amazon.com/images/I/61q+7XftdUL._AC_UL320_.jpg,https://www.amazon.in/Mextech-LX-1010B-Digital-Lux-Meter/dp/B01LYWKLTD/ref=sr_1_316?qid=1679223157&s=industrial&sr=1-316,3.7,54,"₹1,291","₹2,160"
MICROFILL (100-1000ul) Scientific Variable Adjustable Volume Micro Pipette,industrial supplies,Lab & Scientific,https://m.media-amazon.com/images/I/71ggwnGBB1L._AC_UL320_.jpg,https://www.amazon.in/MICROFILL-100-1000ul-Scientific-Variable-Adjustable/dp/B082M8VF2P/ref=sr_1_317?qid=1679223157&s=industrial&sr=1-317,3.7,32,₹800,"₹4,590"
"IONIX Liquid ph Tester, Liquid ph Tester for Water, ph Testing Liquid, Water ph testering Liquid Bottles, 2 Bottles, White",industrial supplies,Lab & Scientific,https://m.media-amazon.com/images/I/31-K1t6bf4L._AC_UL320_.jpg,https://www.amazon.in/IONIX-Liquid-Testing-testering-Bottles/dp/B09DX97ZJN/ref=sr_1_318?qid=1679223157&s=industrial&sr=1-318,3.6,57,₹112,₹299
BFC GRAPHITE FINE POWDER LR - 250gm CAS No.7782-42-5,industrial supplies,Lab & Scientific,https://m.media-amazon.com/images/I/51EtUQBIQXL._AC_UL320_.jpg,https://www.amazon.in/BFC-GRAPHITE-FINE-POWDER-No-7782-42-5/dp/B072L2RZFR/ref=sr_1_319?qid=1679223157&s=industrial&sr=1-319,4.1,21,₹389,₹500
SKADIOO Jewellery Scale | Weight Scale | Digital Weight Machine | weight machine for gold | Electronic weighing machines f...,industrial supplies,Lab & Scientific,https://m.media-amazon.com/images/I/61znjyJoDxS._AC_UL320_.jpg,https://www.amazon.in/SKADIOO-Jewellery-Electronic-weighing-machines/dp/B09BB6TQT9/ref=sr_1_320?qid=1679223157&s=industrial&sr=1-320,3.6,15,₹268,₹999
"CHARCO Tartaric Acid Powder, 200 Gm - by CHARCO - Skin To Internal Health®",industrial supplies,Lab & Scientific,https://m.media-amazon.com/images/I/71b291k5pjS._AC_UL320_.jpg,https://www.amazon.in/CHARCOs-Tartaric-Acid-Powder-Grade/dp/B082861STC/ref=sr_1_321?qid=1679223157&s=industrial&sr=1-321,4.1,25,₹290,₹354
LABWORLD Mercury Thermometer 0 to 250 Degrees Celsius 300 mm for Laboratory Industrial and Household Temperature Measureme...,industrial supplies,Lab & Scientific,https://m.media-amazon.com/images/I/41rSU5hlT-L._AC_UL320_.jpg,https://www.amazon.in/Labworld-thermometer-laboratory-temperature-measurement/dp/B08CDKB7NC/ref=sr_1_322?qid=1679223157&s=industrial&sr=1-322,3.5,38,₹160,₹490
Plastic Petri Dish - PS Gamma Sterile 90mm (Pack of 10),industrial supplies,Lab & Scientific,https://m.media-amazon.com/images/I/51qhO4+75QL._AC_UL320_.jpg,https://www.amazon.in/Plastic-Petri-Dish-Gamma-Sterile/dp/B0BTLRPFNN/ref=sr_1_323?qid=1679223157&s=industrial&sr=1-323,,,₹225,₹499
FREEMANS - FIBREGLASS MEASURING TAPE 30M,industrial supplies,Lab & Scientific,https://m.media-amazon.com/images/I/91-EPGEECNL._AC_UL320_.jpg,https://www.amazon.in/FREEMANS-FIBREGLASS-MEASURING-TAPE-30M/dp/B078C7YWXJ/ref=sr_1_324?qid=1679223157&s=industrial&sr=1-324,4.6,5,₹500,₹597
BFCLAB AMMONIA SOLUTION LR - 100ml,industrial supplies,Lab & Scientific,https://m.media-amazon.com/images/I/71AML2HPl5L._AC_UL320_.jpg,https://www.amazon.in/BFCLAB-AMMONIA-SOLUTION-LR-100ml/dp/B08K2JB639/ref=sr_1_325?qid=1679223157&s=industrial&sr=1-325,4.2,25,₹100,₹150
Labworld glass Mercury thermometer 0 to 360 degrees celsius 300mm long for laboratory industrial and household temperature...,industrial supplies,Lab & Scientific,https://m.media-amazon.com/images/I/111RsAi6b8L._AC_UL320_.jpg,https://www.amazon.in/Labworld-thermometer-laboratory-temperature-measurement/dp/B08F456BC7/ref=sr_1_326?qid=1679223157&s=industrial&sr=1-326,3.9,72,₹320,₹450
ISOCHEM Sulphur Powder (500 GM),industrial supplies,Lab & Scientific,https://m.media-amazon.com/images/I/317dT7Z16ZL._AC_UL320_.jpg,https://www.amazon.in/ISOCHEM-LABORATORIES-SULPHUR-POWDER-500GM/dp/B07QW1WZ3Z/ref=sr_1_327?qid=1679223157&s=industrial&sr=1-327,4.0,123,₹385,₹410
CERO ® NEW DISTILLED WATER 99% Pure [H2O] CAS: 7732-18-5 (200ml),industrial supplies,Lab & Scientific,https://m.media-amazon.com/images/I/41Ji-k2HUUL._AC_UL320_.jpg,https://www.amazon.in/CERO-NEW-DISTILLED-WATER-99-Pure/dp/B077S2FSM2/ref=sr_1_328?qid=1679223157&s=industrial&sr=1-328,4.1,209,₹219,₹499
"OCEAN STAR Digital pH Meter for Water Testing, for Multi-Purpose Usage, with Buffer Solution",industrial supplies,Lab & Scientific,https://m.media-amazon.com/images/I/61drBfEBRsL._AC_UL320_.jpg,https://www.amazon.in/OCEAN-STAR-Digital-Multi-Purpose-Solution/dp/B09W9SZJ6D/ref=sr_1_329?qid=1679223157&s=industrial&sr=1-329,2.8,6,₹599,"₹1,249"
